category,total_office,booked_for_case,out_for_case,reserved_total,available,availability,next_booking_date,next_booking_hospital,next_booking_case_id,next_booking_set
1.5-2.0,4,0,2,2,2,2/4,,,,
2.0 ONLY,1,0,0,0,1,1/1,,,,
2.0-2.4,3,0,2,2,1,1/3,,,,
2.4-2.7,7,0,4,4,3,3/7,,,,
2.7-4.0,10,0,7,7,3,3/10,,,,
3.5-6.5,5,0,4,4,1,1/5,,,,
ANKLE ARTHRODESIS NAIL,1,0,0,0,1,1/1,,,,
CANNA 2.5,4,0,1,1,3,3/4,,,,
CANNA 3.5,5,0,3,3,2,2/5,,,,
CANNA 4.0,5,0,3,3,2,2/5,,,,
CANNA 5.2,3,0,0,0,3,3/3,,,,
COATLMON CABLE SYSTEM,1,0,0,0,1,1/1,,,,
FIBULAR NAIL,1,0,1,1,0,0/1,,,,
FNS,1,0,0,0,1,1/1,,,,
FOOT INSTRUMENT,1,0,0,0,1,1/1,,,,
FOOT SET,1,0,1,1,0,0/1,,,,
ILN FEMUR,2,0,1,1,1,1/2,,,,
ILN HUMERUS,1,0,1,1,0,0/1,,,,
ILN RADIUS ULNA,1,0,1,1,0,0/1,,,,
ILN TIBIA,2,0,2,2,0,0/2,,,,
ILN TIBIA SUPSUB,1,0,0,0,1,1/1,,,,
LONG PFN,1,0,0,0,1,1/1,,,,
P5400,2,0,0,0,2,2/2,,,,
P5503,12,0,0,0,12,12/12,,,,
P8400,1,0,0,0,1,1/1,,,,
PFN,9,0,8,8,1,1/9,,,,
PFN II 170-240,2,0,0,0,2,2/2,,,,
PFN II 340-420 IMPLANT,2,0,0,0,2,2/2,,,,
PFN II 340-420 SYSTEM,2,0,0,0,2,2/2,,,,
PFN II NAIL REMOVAL,1,0,0,0,1,1/1,,,,
REAMER,4,0,2,2,2,2/4,,,,
RFN,3,0,1,1,2,2/3,,,,
ROI,5,0,1,1,4,4/5,,,,
STD CANNA 2.4,1,0,0,0,1,1/1,,,,
STD CANNA 3.0,1,0,0,0,1,1/1,,,,
STD CANNA 4.0,4,0,1,1,3,3/4,,,,
STD CANNA 6.5/7.3,3,0,0,0,3,3/3,,,,
TENS,2,0,0,0,2,2/2,,,,
